,job_description,bag_of_words
384,"  Our customer has a requirement for a PPAP program manager to assist driving their suppliers with PPAP milestone due dates   A strong background in formulation of Control Plans and PFMEAs, Corrective Actions (8D) and experience in compiling and completing of level 4 PPAPs. Must have excellent verbal and written communication skills and able to effectively communicate with all levels. Previous program management experince required Experience in using problem solving techniques and applying continuous improvement techniques. Candidates will be expected to travel to various suppliers. br{line-height:1px;}","['communication', 'improvement', 'travel', 'program management', 'continuous improvement']"
385,"Job SummaryBDO’s Core Purpose is Helping People Thrive Every Day. Our Core Values reflect how we manage our work, our relationships and ourselves. As an employee of the firm, you will live true to our Core Values of people first, being exceptional every day in every way, embracing change, feeling empowered through knowledge and choosing accountability. Our Core Values are the standards by which we conduct ourselves day in and day out, both internally and externally.The Dispute Advisory Associate is responsible for assisting in compiling and analyzing documents to support consulting, testimony and arbitration services.- Assists with engagements related primarily to matrimonial matters- Analyzes claims and opinions made by opposing parties- Identifies relevant documents in connection with the characterization of assets and other relevant claims- Participates in the drafting of reports of findings and assists with the preparation of tables, exhibits and charts- Traces transactions and activity in bank and brokerage accounts- Creates and utilizes financial models- Analyzes the character of non-cash assets (real estate, entity interests, defined benefit plans, stock options, restricted stock grants, etc.)- Analyzes financial statements and trends- Summarizes legal agreements (such as asset purchase agreements, partnership agreements, etc.)- Supports the compiling and analyses of facts to formulate, substantiate and/or critique various theories, claims or conclusions- Communicates with senior team members regarding project status and technical issues- Other duties as requiredQualificationsEducation:- Bachelor’s degree in Accounting, Economics, Finance or other relevant field requiredExperience:- One (1) or more years audit or forensic accounting experience required- Experience with general accounting, auditing and evaluating internal controls preferred- Leadership experience preferredLicense/Certifications:- CPA or eligible to sit for the CPA exam upon starting employment preferredSoftware:- Proficient in Microsoft Office Suite, specifically Word, Excel and PowerPoint preferred- Expertise in Excel preferredOther Knowledge, Skills & Abilities:- Strong written and verbal communication skills- Strong analytical and basic research skills related to the retrieval and organization of high volumes of information- Solid organizational skills especially ability to meet project deadlines with a focus on details- Ability to successfully multi-task while working independently or within a group environment- Ability to work in a deadline-driven environment and handle multiple projects simultaneously- Ability to interact effectively with people at all organizational levels of the firmMON","['consulting', 'drafting', 'reports', 'transactions', 'legal', 'partnership', 'technical', 'Accounting', 'Economics', 'Finance', 'audit', 'accounting', 'accounting', 'auditing', 'controls', 'Word', 'Excel', 'PowerPoint', 'Excel', 'communication', 'analytical', 'research', 'real estate', 'financial statements', 'internal controls', 'Microsoft Office', 'Microsoft Office Suite']"
386,"Job Description Baylor Medical Center at Uptown is a new state of the art surgical hospital in the Dallas' Uptown area. Specialties and services will include Orthopedic, Spine, Pain Management, General Plastic, and Ear, Nose and Throat surgery. Our mission is to provide first-class services for the local community in a safe, comfortable, and welcoming environment; one in which we would be happy to treat our own families.Baylor Medical Center at Uptown is a part of United Surgical Partners International (USPI). USPI owns and operates multiple surgical hospitals and ambulatory surgical care centers throughout the United States and London; with headquarter located in Addison, TXBaylor Medical Center at Uptown is looking for a top-performer with solid knowledge of PSU Recovery Patient Care Technician in the PSU Department for full-time opportunities .This is a fast paced environment that is driven to reach the highest quality and satisfaction outcomes in Texas.  The Patient Care Tech will assist patients with activities of daily living, provides basic nursing care to patients and assists in maintenance of a safe and clean environment under the direction and supervision of the Registered Nurse in charge of the team and/or unit.  BENEFITS Our competitive salary and benefits package includes medical and dental insurance, 401(k), paid time off and life insurance.SCHEDULEWork schedule: Day/Night ShiftRequired Skills Position required skills for the Patient Care Tech include: High school student or graduate or equivalent Previous clinical hospital experience preferred Current certification in CPR Customer Service/Relationship/Communication Job knowledge/Responsibilities/Productivity Environment of Care/Patient Safety Infection Control/Employee Health and Safety Patients Rights    Required Experience Position qualifications and requirements for the Patient Care Tech include: One year experience directly related to duties and responsibilities specified is preferred Knowledge of patient care charts and patient histories Patient Interviewing skills Ability to perform standard clinical procedures according to established protocols Knowledge of patient evaluation procedures Ability to perform routine invasive procedures, such as venipuncture, and EKG Ability to maintain quality, safety, and/or infection control standards Ability to adapt to change quickly, strong knowledge base relative to surgery procedures and management of the surgical patient Understands principles of aseptic technique and their implementation Possess the ability to follow established cleaning methods in performing daily tasks Must be able to keep all equipment in good working condition      ","['hospital', 'Nose', 'International', 'schedule', 'hospital', 'certification', 'CPR', 'Safety', 'Health', 'Safety', 'protocols', 'safety']"
387,"Construction Professional For more than 15 years this general contractor has built a reputation for quality and on time performance by paying attention to details. Their bread and butter business comes from ISD along with other divisions such as church facilities, retail centers, commercial offices and healthcare. They have superintendents that are the face of the company and have been with them for 15 years because of the support and projects that are given to them to deliver. Your new role will see you coming in as a lead superintendent on the K-12 side. Although experience in building schools isn't paramount it is highly desirable as the first project you will start will be a GU elementary school. Renovation experience and public works experience is desirable and at least 6-10 years as a superintendent In order to succeed you will have to have the right attitude and be computer savvy, being able to think quick off your feet and want to lead is imperative. Most of the work is in the Houston area but travel up to an hour away from central Houston will be essential as work is all over. In return you will get a competitive salary, truck allowance and fuel card, 100% medical and 401k. A Bonus which is worked out annually where by all of their superintendents pick up a bonus of between $10/20000 as well as a home. What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now. If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career.","['Construction', 'retail', 'healthcare', 'travel', 'click']"
388,"Cruz Tec, Inc., a small but highly stable and successful company who provides underground utility construction and rehabilitation projects of various sizes for municipalities and pump stations throughout the Houston and surrounding areas. We are looking for a highly motivated construction Project Manager/Estimator with 5-10 years’ experience.  The ideal candidate will have underground utility construction project experience.  The project manager has the overall responsibility for project performance and customer satisfaction, taking it from concept to completion.  Each Project Manager has full profit and performance responsibility for his/her projects.Responsibilities: Responsible for managerial and administrative aspects of a project.  This includes being proficient in estimating, scheduling, quality control, progress reports, progress billing, design review and coordination, cost reporting, safety, and proposal preparation.Ensure that an accurate and complete estimate for the project is prepared.  Project Managers work closely with owners to develop preliminary budgets.Participate in the proposal meeting with the owner to review the scope of work, discuss ways to reduce costs, and provide value engineering ideas.Oversee the material purchases and to selection of subcontractors.Conduct weekly job site meetings on site.Coordinate with the Superintendent to ensure safety, quality control and schedule.Conduct progress meetings with Owners and the construction team.Remain cost conscious and aware of every aspect of the project at all times.Ability to communicate effectively with everyone involved in the project.Qualifications: 5-10 years of underground utility construction project experience considered a plus.Ability to effectively make sound decisions under tight deadlines.Ability to organize, plan and manage multiple activities to accomplish desired results.Exhibit commitment to quality by evaluating project-related processes.  Make necessary changes, use customer input to make improvements, and meet/exceed internal and external customer expectations.Act in a manner of integrity that shows support for the company, its values, and the employees, while maintaining constant focus on meeting/exceeding customer requirements and expectations.Computer skills: proficiency using Word, Excel, Outlook, Microsoft Project and Adobe Acrobat. ","['construction', 'construction', 'construction', 'scheduling', 'reports', 'billing', 'design', 'reporting', 'safety', 'proposal', 'proposal', 'engineering', 'safety', 'construction', 'construction', 'plan', 'Word', 'Excel', 'Adobe', 'quality control', 'quality control', 'customer requirements']"
389," Job Description: Technical Japanese/English Speaking Interpreter/Translator for Toyota Motor Manufacturing To Apply:    Send resumes to tre@ictnorthamerica.comJob Dates:    May 30, 2016  to November  25, 2016 Location:     West VirginiaJob Openings: ICT is looking for Japanese/English interpreters/translators to assist as written and spoken communication bridge between American and Japanese engineers. These individuals will be working on-site at the Toyota Motor's plant.  Interpreting and translation will take place in business and engineering meetings, on the plant floors, and in the plant office.Requirements: Must be able to speak both English and Japanese fluentlyMust be able to read and write Japanese kanji at a fluent level (Note: our scale for kanji fluency is based on being able to read 75% or more of a standard Japanese newspaper) Must have good interpersonal skills Must have previous interpreting and translation experience Must be willing to work onsite at the Toyota facility Four year degree or equivalent experience Good verbal and written communication skillsA good team member attitude Benefits: Salary is based on the individual's experienceForty plus hours per week Overtime paid at time and a half Housing provided Meal allowance Insurance after 3 monthsTravel Paid Please contact us if you would like more information about working on ICT's team. For more information or to apply through ICT,LLC see www.ictnorthamerica.com                                                                                        ","['Technical', 'communication', 'engineering', 'English', 'newspaper', 'communication']"
390,"Report this job About the Job Android Front End DeveloperLocation: Las Vegas, NVSalary: $85k-$110kTop Reasons to Work with Us1. We are rapidly growing and envision our user base to be close to 2 million by middle of 20172. Have the chance to join a funded start-up with the ability to make an immediate impact from day one on the future direction of the company3. Great compensation package and benefits with unlimited PTOWhat You Will Be DoingCreate easy-to-use applications in an agile environmentPlan and execute user research with design, engineering and product management teamsInfluence design decisions through analysis and design choicesCreate prototypes and validate designs through formal and informal user testingParticipate in 30% design and 70% developmentWhat You Need for this Position- Visual / Interaction / UI / UX Design- Consumer facing, product development experience- Mobile design/ DevelopmentUser Testing / Information ArchitectureHTML / CSS / Front End Web DevelopmentStrong portfolio demonstrating design capabilities and experienceSo, if you are a Mobile Front End Developer with 3 years of web development experience, please apply today! Or simply send your resume to: Lauren@Cybercoders.com Report Previous Next {""Caption"":"""",""Images"":[{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/1.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/2.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/3.jpg"",""Title"":null,""Text"":null,""Caption"":null}]} ‹ › ×","['Android', 'agile', 'research', 'design', 'engineering', 'design', 'analysis', 'design', 'design', 'Visual', 'UI', 'UX', 'Mobile', 'Testing', 'CSS', 'design', 'Mobile', 'product management', 'product development']"
391,"Security Officer 3771BR Dallas/Fort Worth Branch 214-630-1001 Job Description WHELAN SECURITY IS NOW HIRING We are searching for bright and talented professionals to join our world-class security team! Our security positions are ideal for: Former, transitioning and military reserve personnel Former and future law enforcement officers Hospitality and customer service professionals College students Retirees Qualifications Successful candidates must meet the following requirements: Legally authorized to work in the United States At least 21 years of age or older as required by applicable law or contractual requirements Demonstrate a stable work history Pass an extensive background screening which includes, but is not limited to, criminal background checks (local, state and federal), drug test, aptitude tests, skills assessment, interviews, and personality profile (behavioral assessment) Education Candidates must meet the following educational requirements: Possess at least a high school education or equivalent (GED) Apply Now! If you have an interest in joining a leader in the contract security industry and would like to work at one or more of our outstanding client locations in the Waco area – APPLY NOW! Click “Apply” to begin the application process immediately. For more information, you can also call us at 214-630-1001. Not convinced?   Listen to what our team members have to say! At Whelan, we value people and we value relationships.Extraordinary people work at Whelan – are you one? Waco, TX 76705","['Security', 'SECURITY', 'security', 'security', 'Hospitality', 'security', 'Click', 'process', 'law enforcement', 'customer service']"
392,"Accounts Payable Job in Boston, MA Accounting Principals has partnered with a top AmLaw firm to help with an Accounts Payable Job in Boston, MA. They are looking for an individual to start immediately on a temporary basis reporting directly to the Accounting Manager. Applicants should be extremely open minded to direct hire opportunities within this capacity. Ideally, you will have 1-3 year’s experience and a bachelor’s degree is required. This is an excellent opportunity for someone who is looking to gain exposure to the Accounting field and provides opportunity for professional development.  Responsibilities:  Coordinating all incoming cash and posting receipts to the general ledgerAccounts payable vendor invoice entry and processingEntry of all client billable costs and batch finalizationAccount reconciliation Client collection callsCost entry and finalization of other general accounting functionsAdditional projects and tasks as assigned  Required:  Bachelor’s Degree (Accounting or Finance preferred)1-3  years of general accounting experience Ability to multi-task with a strong sense of urgencyHigh attention to detail Excellent written, verbal, and interpersonal communication skillsExperience with Elite preferredSuperior knowledge of  MS Office Suite ( Excel, Word, Power Point )  How to apply:  For immediate consideration, please submit your resume to Angelena.tentilucci@accountingprincipals.com AND apply directly to the Accounting Principals website.   ","['Accounting', 'reporting', 'Accounting', 'Accounting', 'reconciliation', 'accounting', 'Accounting', 'Finance', 'accounting', 'communication', 'Excel', 'Word', 'Accounting', 'website', 'Accounts Payable', 'Accounts Payable']"
393,"Job Title: Personal Banker (SAFE) 1 - 17th StreetJob ID Number: 5210189-1Location: Denver,COJob Description: Job DescriptionAt Wells Fargo, our vision is to satisfy our customers’ financial needs and help them succeed financially. In this role, you will help us deliver on our vision and build lifelong relationships with our customers. You also will demonstrate leadership through contributing to a company culture that supports customers in achieving their financial goals, team members in developing their careers, and communities in continuing to thrive. As part of a team that serves one in three American households, you will play a vital role in living our commitment to the highest ethical standards and maintaining the valued trust of our customers and communities. As a Personal Banker, you will devote much of your day to building long term relationships with our customers, in person and by phone. You will deepen the understanding of our customers' financial needs and provide suggestions. While most of the job is performed in the stores, Bankers reach out into the community by placing outbound phone calls to existing clients, visiting businesses, conducting educational seminars, and being active in the community. Our Expectation of our Personal Bankers: Personal Bankers are expected to exceed challenging sales and referral goals by proactively selling products and services to customers and referring customers to other areas of the bank. Personal Bankers sell retail banking products and services to customers and prospects. Manages customer portfolio, services relationships and cross-sells all products and services. Provides broad base of financial and credit services with the goals of acquiring 100% of the customers' business. Develops and maintains relationships with Wells Fargo partners to maximize sales opportunities and achieve minimum sales standards. Uses profiling analysis tools to identify cross sell opportunities and makes outbound sales calls typically by phone to increase product per customer ratio. May handle cash transactions. May spend up to 30% of time completing service-related tasks. Every banker has their own scorecard with daily sales and referral goals. You will be rewarded for your success with bonus incentives beyond base salary. Our best Bankers constantly go the extra mile, finding ways to be helpful while still working quickly and efficiently. Bankers have the ability to resolve difficult customer situations effectively while delivering friendly customer service and ensuring the highest level of customer satisfaction. At Wells Fargo, we have an outstanding diverse team. We want people who pitch in and help others enhance their ability to educate our customers. We'll provide outstanding training, but it's up to you to learn our products and services. Personal Bankers will develop and improve their skills through regular feedback discussions with supervisors and learn skills which will help further their professional experience and improve their chance for even greater roles in the future. Important Note: During the application process, ensure your contact information (email and phone number) is up to date and upload your current resume prior to submitting your application for consideration. If you are a Wells Fargo Team Member, in your Jobs Profile ensure that your email address is valid and updated to an address that can receive external emails outside of the banking network. Initial contact with you will be made via e-mail. Please check your e-mail regularly for updates. Required Qualifications 1+ year of experience selling products and services1+ year of experience interacting with people or customers Desired Qualifications Ability to navigate multiple computer systems, applications, and utilize search tools to find informationBasic Microsoft Office skillsExperience interacting positively with unsatisfied customersGood communication skills including speaking clearly, succinctly, and accurately while using a pleasant tone and common conversational courtesiesExperience in retail sales or the financial services industryExperience achieving individual and team goalsAbility to adhere to established attendance policies Other Desired Qualifications• Multilingual speakers are encouraged to apply Job Expectations Ability to work weekends and holidays as needed or scheduledThis position requires SAFE registration at the time of employment. Wells Fargo will initiate the SAFE registration process immediately after your employment start date. The Nationwide Mortgage Licensing System (NMLS) web site (http://fedregistry.nationwidelicensingsystem.org ) provides the MU4R questions and registration required for employment in this position.Individuals in Loan Originator (LO) positions must meet the Consumer Financial Protection Bureau qualification requirements and comply with related Wells Fargo policies. The LO qualification requirements include meeting applicable financial responsibility, character, general financial fitness and criminal background standards. A current credit report will be used to assess your financial responsibility and credit fitness, however, a credit score is not included as part of the evaluation. Successful candidates must also meet ongoing regulatory requirements including additional screening, if necessary. Street Address CO-Denver: 1050 17th St - Denver, CODisclaimer All offers for employment with Wells Fargo are contingent upon the candidate having successfully completed a criminal background check. Wells Fargo will consider qualified candidates with criminal histories in a manner consistent with the requirements of applicable local, state and Federal law, including Section 19 of the Federal Deposit Insurance Act.Relevant military experience is considered for veterans and transitioning service men and women.Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation.","['sales', 'retail', 'banking', 'sales', 'sales', 'profiling', 'analysis', 'sales', 'transactions', 'sales', 'training', 'process', 'email', 'email', 'banking', 'updates', 'communication', 'retail', 'sales', 'policies', 'process', 'Mortgage', 'Licensing', 'System', 'policies', 'fitness', 'fitness', 'regulatory', 'phone calls', 'customer service', 'Microsoft Office', 'regulatory requirements']"
394,"The Enrollment Agent I (EA I) supports Enrollment Solutions Operations through participation in commercial, state, and/or federal programs. The employee performs electronic fingerprinting functions according to the commercial, state, or federal customer's program requirements. This position is a trainee role and the incumbent will be introduced to various processes, taught how to operate various fingerprinting machinery, and trained to navigate through specialized computer software databases. Essential Job Functions (includes but is not limited to): Provide superior customer service to internal and external customersPerform basic maintenance and troubleshoot issues with fingerprinting equipment, including computer hardware and softwareObtain successful customer fingerprint images and capture biometric information to meet or exceed program standardsVerify customer identity and scan required documents into database systemSuccessfully complete required biometric and data capture processes and paperwork on each customerAdhere to all company and departmental employment policies regarding security and confidentialityPerform administrative duties such as time keeping, shift schedules, daily activity reports, card inventory, equipment inventory, and requisitioning supplies Note: In addition to the Essential Functions, also performs similar work-related duties as assigned.Required Skills: Customer and Personal Service - Knowledge of principals and processes for providing customer and personal services, including customer needs assessment, meeting quality standards for services, and evaluation of customer satisfactionTechnology - Knowledge of electronic equipment, computer hardware, and computer software, including applications and data entryClerical - Knowledge of administrative and clerical duties, such as word processing, managing files and records, stenography and transcription, designing forms, and other office proceduresMonitoring - Monitoring/Assessing performance of self, other individuals, and/or outside organizations to make improvements or take corrective actionIntegrity - Job requires ethics and honesty Required Experience: High school diploma or equivalent degreeMinimum one (1) year applicable experienceProficiency in Microsoft Office Suite is requiredPrevious experience processing credentials preferredSome weekend work may be requiredMust be at least eighteen (18) years oldMust be a US Citizen Travel Requirement, Working Conditions and Physical Demands: Travel requirement, such as:Ability to travel locally for activities such as meetings, classes, and workshops.Occasional overnight travel as required; should not exceed 25% of the time Working Conditions, such as:General office environment. The work area is adequately lighted, heated, and ventilated. Physical Demands, such as:Office environment where the employee may sit comfortably to do the work. Some walking, standing, bending, reaching, and carrying of light items such as papers, books, small parts; driving an automobile, etc. Requires eye-hand coordination and manual dexterity sufficient to operate a keyboard, photocopier, telephone, and other office equipment.The work requires light physical effort with frequent lifting and/or moving of materials in the 10-30 pound range and occasional lifting up to 50 pounds. Requires manual dexterity and ability to manipulate small objects. May require normal range of hearing and vision to operate machinery. Must be a US Citizen, without dual CitizenshipsMorphoTrust is an equal opportunity employer.We evaluate qualified applicants without regard to race, color, religion, sex,sexual orientation, gender identity, national origin, disability, veteran status, and other protected characteristics","['Operations', 'hardware', 'database', 'policies', 'security', 'schedules', 'reports', 'inventory', 'inventory', 'hardware', 'word', 'Travel', 'Travel', 'travel', 'travel', 'keyboard', 'computer software', 'customer service', 'quality standards', 'computer software', 'Microsoft Office', 'Microsoft Office Suite']"
395,"Enjoy your day? We did!    The Job Window is an interactive candidate resource that specializes in connecting up and coming talent to entry level opportunities all across North America!  We are excited to announce that one of our top clients is looking for a Territory Sales Account Manager to join their retail marketing division & client acquisitions team! What are we looking for?  We are currently looking for a full-time Territory Sales Account Manager to join our client’s team working on an exciting new business development project for a telecommunications client. The ideal candidate will be dynamic, personable, and a driven self-starter with the ability to prospect sales opportunities.  Key Responsibilities  As a Territory Sales Account Manager, you will be primarily responsible for maximizing sales of our client’s products, lead generation and customer relations. This position carries with it the responsibility to ensure that you are managing internal communication and customer relationships. Key responsibilities include: Training and DemonstrationTraining and educating key clients on the functions and benefits of the productsDemonstrating key features and translating them into benefits for the consumersProduct PositioningDelivering marketing messages to clients (new and existing)Strategic SalesDriving sales through lead generationIdentifying areas of opportunityCustomer Service and Relationship Providing basic support on new customer inquiries Maintaining relationship with key customers and partnersFollow up on leads and inquiriesAdministration and CommunicationMaintain contact with regional key customers on a regular basisProviding call reports and feedback on regional business conditions to management team RequirementsDo you have the following qualifications?  Strong understanding of the fundamentals of sales — previous sales experience is a strong assetPrevious experience working in a manufacturing/warehousing environment considered an asset Must be able to adapt communication to the various audiences based on the field environmentExtroverted, Motivated & Confident working with people; magnetic personalityAble to work in a fast- paced environment; high energy","['interactive', 'Sales', 'retail', 'marketing', 'acquisitions', 'Sales', 'sales', 'Sales', 'sales', 'communication', 'Training', 'marketing', 'sales', 'reports', 'sales', 'sales', 'communication', 'business development', 'sales experience']"
396,"About Aramark Aramark (NYSE: ARMK) is in the customer service business across food, facilities and uniforms, wherever people work, learn, recover, and play. United by a passion to serve, our more than 270,000 employees deliver experiences that enrich and nourish the lives of millions of people in 22 countries around the world every day. Aramark is recognized among the Most Admired Companies by FORTUNE and the World’s Most Ethical Companies by the Ethisphere Institute. Learn more at www.aramark.com or connect with us on Facebook and Twitter. Responsibilities Job Summary:  The purpose of this job is to help ensure guest satisfaction by maintaining all dishes, pots, pans, silverware, glasses, equipment, and kitchen utensils in a clean and sanitized condition.  In addition, this job requires that the employee keep the dishwashing machine station, three compartment sink, and related areas clean.   Tasks & Responsibilities: Able to follow directions Work in an environment that at times can be hot and humid Maintain a neat and orderly work station Know and comply with all company policies and procedures regarding safety, security, emergencies and energy Report to work on time and in complete uniform Other duties as assigned Qualifications Minimum of one year experience Understanding of basic kitchen sanitation Must be able to work holidays, weekends, and varied shifts Must be able to perform repetitive tasks and stand for extended periods of time","['Facebook', 'Twitter', 'policies', 'safety', 'security', 'customer service']"
397,"POSITION PROFILE:Staffs and professionally develops a sales team of direct reports (primarily AE) and assists them in career planning. Directs and manages the sales activities and performance of the team. Drives business results by achieving revenue equipment contribution targets. Leverages the customer base and champions the expansion of services across the business line.JOB DUTIES AND RESPONSIBILITIESLeads, motivates, and counsels the sales team, to meet or exceed budgeted sales revenue, gross profit, unit placement, expense and equipment contributions projections while maintaining teamwork and the highest level of customer service.Responsible for up to $3-$4.8 million for revenue expectations and for selling expense limitations.Plans, coaches, trains, advises, and reviews with individual sales representative their progress in achieving individual and team revenue targets and assist them in their career planning, training and growth; recommends and facilitates appropriate development opportunities.Manages SMART process through Account Planning sessions, territory reviews, RAPs, Sales Manager RAP and GOAL Setting.Schedules and hosts periodic informational team meetings and team-building exercises. Supports and advocates headquarter initiatives.Manages day-to-day employee relations' issues.Aligns sales representative's approach and customer understanding with RICOH's strategic direction.Facilitates a team-based, inclusive work environment to promote sales across the business line and drive employee and customer retention.Ensures reports are conducting strategic account planning with key customer accounts.Builds Tier 2 account structure and territories for sales representatives.Recruits, interviews and hires sales professionals.Works with customer and appropriate internal staff to resolve customer issues and complaints.Proactively builds an internal and external pipeline of sales representative candidates and introduce RICOH's products and services via outreach efforts.Evaluates performance data.Participates in fiscal year business planning.Measures success of cross business line salesFacilitates communication and cooperation between team and marketplaces.Performs other duties as assigned.QUALIFICATIONS (Education, Experience, and Certifications)Typically Required:4-year college degree or equivalent in a related field.3 years industry related sales experience with sales management experience.Ricoh is an EEO/Affirmative Action Employer -- Minorities/Women/Protected Veterans/Disabled.","['sales', 'reports', 'sales', 'sales', 'sales', 'sales', 'training', 'process', 'Sales', 'sales', 'sales', 'reports', 'sales', 'sales', 'sales', 'outreach', 'communication', 'sales', 'sales', 'employee relations', 'sales experience', 'sales management']"
398,"Provide proposal development support for P&W's Military Engine Sustainment programs supporting F117 contracts. Activities include interfacing with the Program Office team to evaluate requests for proposals, determining requirements, developing execution details and writing of technical volumes and pricing volumes. Other key activities involve working with our commercial counterparts to compile and analyze price reasonability data to support the proposal pricing. Ability to work with teams of different functional and technical background is essential. A knowledge of FAR 15 and FAR 12 contracting is helpful. Bachelor's degree in business, accounting, finance are acceptable if the individual can demonstrate a history of the skills noted above.MS Office, Government Contracting / proposal writing, Subcontracting/Subcontract Management, strong interpersonal skills, conflict resolution skills, Project/Program ManagementCDI Corporation is an EEO/An Affirmative Action M/F/D/V Employer.","['proposal', 'P', 'contracts', 'requests', 'writing', 'technical', 'analyze', 'proposal', 'technical', 'accounting', 'finance', 'proposal', 'writing']"
399,"LOCATION: Portage JOB TYPE: Contract to Hire - Full Time SHIFT: Second Shift JOB ID: 85716 PAY: $11.47 PROFESSION: Manufacturing/Production DATE POSTED: 5/13/2016 Summary: Growing Company in Portage has Contract to hire positions for Machine Operators on 2nd Shift. Hours are 2:30pm-11:00pm, Monday-Friday with overtime and varying start and end times during peak seasons. Pay starts at $11.47per hour. You may be eligible for pay increases and other benefits if hired on, after 520 hours! Advancement opportunities available! Responsibilities: Monitor the machine that is cutting the product Takes measurements and calculations of product Set up and tear down machine when needed Help maintenance troubleshoot problems with the machines Other duties as assigned Qualifications: Two years recent heavy industrial experience required Mechanically inclined and able to do repetitive work Requires good math, reading, and paperwork skills Someone who takes initiative and cares about their work Previous machine operation preferred M4",['math']
400,"TecNiq Inc, a fast growing leader in LED lighting design and manufacturing, is seeking an ambitious, self-motivated individual to join our Engineering Department in circuit board layout. Qualified individuals of all skill levels are encouraged to apply. Successful candidates should possess the following skills and attributes:·         Associates degree with a minimum of (2) years of experience in circuit board design and layout.·         Knowledge to design single-sided, double-sided and multi-layered PCBs using industry standard techniques, ensuring considerations for DFM/DFT have been made.·         Ability to work in a fast paced results oriented engineering environment.·         Responsible for completing PCB designs in accordance with agreed project time, cost, quality, and performance requirements.·         Effectively communicate and coordinate with other team members (EE, ME, Manufacturing and Fabrication vendors).·         ECAD library administration including symbol, footprint generation and database administration.·         Support development of Bills of Materials.·         Experience with Mentor Graphics schematic capture called Dx Designer and PADs version 9.5 layout software a plus.  Competitive salary based on experience and skill levelBenefits include medical, dental, vision, short-term and long-term disability, life insurance and 401K  Submit resume to tomo@tecniqinc.com ","['lighting', 'design', 'Engineering', 'design', 'design', 'engineering', 'Fabrication', 'vendors', 'administration', 'database']"
401,"Tetra Tech is a leading provider of consulting, engineering, and technical services worldwide. Our reputation rests on the technical expertise and dedication of our employees?16,000 people working together across disciplines and time zones to provide smart, sustainable solutions for challenging projects. We are proud to be home to leading technical experts in water, environment, infrastructure, resource management, energy, and international development. Tetra Tech combines the resources of a global, multibillion dollar company with local, client-focused delivery in 400 locations around the world. We offer competitive compensation and benefits and are searching for innovative people to join our teams. We are currently seeking multiple Security Specialists to join our San Diego project location (positions are pending contract award).  The ideal candidates will have administrative experience supporting Government/Navy Security duties and protocols in personnel, physical, information and operations security programs.   Duties will include a variety of business and administrative functions supporting Security Operations such as:  Prepare or assist in the coordination and support of specialized department programs;  Maintain and modify computer-based records and reports of functional area or department;  Prepare original correspondence or documents;  Check records and reports for accuracy and make appropriate changes;  Collect, classify and maintain hard copy and electronic department files;  Deliver and pick up correspondence and report within the customer?s facilities and from other local offices;  May maintain classified material log following clearly defined classified document procedures and act as a courier for classified documents;  Perform general clerical duties, answer phones, filing, and operation of reproduction and fax machines;  May assist other departments with related tasks. High school diploma or GED completion, and a minimum of four years of related experience or equivalent combination of education and/or training and experience. Preferred:  DSS Security Fundamentals Professional Certification. Possess excellent written and verbal communication skills.   Must be proficient in Microsoft Suite:  Word, Excel, Power Point and Outlook.  Must possess a current active DoD Secret or above clearance; U.S. Citizenship required.  For more information on our company, please visit our website at www.tetratech.com To apply, please submit your resume and cover letter on the Careers portion of our website at www.tetratech.com/careers We thank all applicants for their interest; however only those selected for an interview will be contacted. Tetra Tech is committed to creating a diverse environment and is proud to be an Equal Opportunity Employer. We invite resumes from all interested parties including women, minorities, veterans and persons with disabilities. Tetra Tech is a VEVRAA federal contractor and we request priority referral of veterans for available positions. EOE AA M/F/Vet/Disability - No calls or agencies  ","['consulting', 'engineering', 'technical', 'technical', 'technical', 'international', 'Security', 'Security', 'protocols', 'operations', 'security', 'Security', 'Operations', 'reports', 'correspondence', 'reports', 'correspondence', 'filing', 'training', 'Security', 'Certification', 'communication', 'Word', 'Excel', 'website', 'website', 'resource management']"
